Universe,dfc_method,tr,segment_length,delay,density,binarise,svc_kernel
Universe_1,TSW21,0.72,10,6,0.5,True,linear
Universe_2,TSW21,0.72,10,6,0.5,True,rbf
Universe_3,TSW21,0.72,10,6,0.5,False,linear
Universe_4,TSW21,0.72,10,6,0.5,False,rbf
Universe_5,TSW21,0.72,10,6,0.25,True,linear
Universe_6,TSW21,0.72,10,6,0.25,True,rbf
Universe_7,TSW21,0.72,10,6,0.25,False,linear
Universe_8,TSW21,0.72,10,6,0.25,False,rbf
Universe_9,TSW21,0.72,10,10,0.5,True,linear
Universe_10,TSW21,0.72,10,10,0.5,True,rbf
Universe_11,TSW21,0.72,10,10,0.5,False,linear
Universe_12,TSW21,0.72,10,10,0.5,False,rbf
Universe_13,TSW21,0.72,10,10,0.25,True,linear
Universe_14,TSW21,0.72,10,10,0.25,True,rbf
Universe_15,TSW21,0.72,10,10,0.25,False,linear
Universe_16,TSW21,0.72,10,10,0.25,False,rbf
Universe_17,SD,0.72,10,6,0.5,True,linear
Universe_18,SD,0.72,10,6,0.5,True,rbf
Universe_19,SD,0.72,10,6,0.5,False,linear
Universe_20,SD,0.72,10,6,0.5,False,rbf
Universe_21,SD,0.72,10,6,0.25,True,linear
Universe_22,SD,0.72,10,6,0.25,True,rbf
Universe_23,SD,0.72,10,6,0.25,False,linear
Universe_24,SD,0.72,10,6,0.25,False,rbf
Universe_25,SD,0.72,10,10,0.5,True,linear
Universe_26,SD,0.72,10,10,0.5,True,rbf
Universe_27,SD,0.72,10,10,0.5,False,linear
Universe_28,SD,0.72,10,10,0.5,False,rbf
Universe_29,SD,0.72,10,10,0.25,True,linear
Universe_30,SD,0.72,10,10,0.25,True,rbf
Universe_31,SD,0.72,10,10,0.25,False,linear
Universe_32,SD,0.72,10,10,0.25,False,rbf
Universe_33,MTD7,0.72,10,6,0.5,True,linear
Universe_34,MTD7,0.72,10,6,0.5,True,rbf
Universe_35,MTD7,0.72,10,6,0.5,False,linear
Universe_36,MTD7,0.72,10,6,0.5,False,rbf
Universe_37,MTD7,0.72,10,6,0.25,True,linear
Universe_38,MTD7,0.72,10,6,0.25,True,rbf
Universe_39,MTD7,0.72,10,6,0.25,False,linear
Universe_40,MTD7,0.72,10,6,0.25,False,rbf
Universe_41,MTD7,0.72,10,10,0.5,True,linear
Universe_42,MTD7,0.72,10,10,0.5,True,rbf
Universe_43,MTD7,0.72,10,10,0.5,False,linear
Universe_44,MTD7,0.72,10,10,0.5,False,rbf
Universe_45,MTD7,0.72,10,10,0.25,True,linear
Universe_46,MTD7,0.72,10,10,0.25,True,rbf
Universe_47,MTD7,0.72,10,10,0.25,False,linear
Universe_48,MTD7,0.72,10,10,0.25,False,rbf
Universe_49,PSc,0.72,10,6,0.5,True,linear
Universe_50,PSc,0.72,10,6,0.5,True,rbf
Universe_51,PSc,0.72,10,6,0.5,False,linear
Universe_52,PSc,0.72,10,6,0.5,False,rbf
Universe_53,PSc,0.72,10,6,0.25,True,linear
Universe_54,PSc,0.72,10,6,0.25,True,rbf
Universe_55,PSc,0.72,10,6,0.25,False,linear
Universe_56,PSc,0.72,10,6,0.25,False,rbf
Universe_57,PSc,0.72,10,10,0.5,True,linear
Universe_58,PSc,0.72,10,10,0.5,True,rbf
Universe_59,PSc,0.72,10,10,0.5,False,linear
Universe_60,PSc,0.72,10,10,0.5,False,rbf
Universe_61,PSc,0.72,10,10,0.25,True,linear
Universe_62,PSc,0.72,10,10,0.25,True,rbf
Universe_63,PSc,0.72,10,10,0.25,False,linear
Universe_64,PSc,0.72,10,10,0.25,False,rbf
Universe_65,DCC,0.72,10,6,0.5,True,linear
Universe_66,DCC,0.72,10,6,0.5,True,rbf
Universe_67,DCC,0.72,10,6,0.5,False,linear
Universe_68,DCC,0.72,10,6,0.5,False,rbf
Universe_69,DCC,0.72,10,6,0.25,True,linear
Universe_70,DCC,0.72,10,6,0.25,True,rbf
Universe_71,DCC,0.72,10,6,0.25,False,linear
Universe_72,DCC,0.72,10,6,0.25,False,rbf
Universe_73,DCC,0.72,10,10,0.5,True,linear
Universe_74,DCC,0.72,10,10,0.5,True,rbf
Universe_75,DCC,0.72,10,10,0.5,False,linear
Universe_76,DCC,0.72,10,10,0.5,False,rbf
Universe_77,DCC,0.72,10,10,0.25,True,linear
Universe_78,DCC,0.72,10,10,0.25,True,rbf
Universe_79,DCC,0.72,10,10,0.25,False,linear
Universe_80,DCC,0.72,10,10,0.25,False,rbf
Universe_81,FLS,0.72,10,6,0.5,True,linear
Universe_82,FLS,0.72,10,6,0.5,True,rbf
Universe_83,FLS,0.72,10,6,0.5,False,linear
Universe_84,FLS,0.72,10,6,0.5,False,rbf
Universe_85,FLS,0.72,10,6,0.25,True,linear
Universe_86,FLS,0.72,10,6,0.25,True,rbf
Universe_87,FLS,0.72,10,6,0.25,False,linear
Universe_88,FLS,0.72,10,6,0.25,False,rbf
Universe_89,FLS,0.72,10,10,0.5,True,linear
Universe_90,FLS,0.72,10,10,0.5,True,rbf
Universe_91,FLS,0.72,10,10,0.5,False,linear
Universe_92,FLS,0.72,10,10,0.5,False,rbf
Universe_93,FLS,0.72,10,10,0.25,True,linear
Universe_94,FLS,0.72,10,10,0.25,True,rbf
Universe_95,FLS,0.72,10,10,0.25,False,linear
Universe_96,FLS,0.72,10,10,0.25,False,rbf
