bl_run,rf_run,tw_run,el_run,perf_pipelines
b-100,rCSD,700300,Cz,0.0542499905676594
b-200,rCSD,700600,CP1CP2PzP3P4,0.0996903194412573
b-100,rMas,500200,P3PzP4,0.0510235778747222
b-200,rAvg,500200,Pz,0.0475263965053646
b-200,rCSD,600300,around,0.061044453756101
b-100,rMas,SAV400,P3PzP4,0.0505118731753035
b-200,rCSD,600300,Cz,0.0622442764012655
b-200,rMas,SAV400,CP1CP2,0.0860101599739946
b-100,rCSD,450100,Cz,0.0459664112215484
b-200,rMas,500300,P3P4CP1CP2,0.0609582819496155
b-100,rCSD,700600,FzCzPz,0.0498467660712565
b-200,rMas,700200,around,0.049661133779951
b-100,rMas,700300,CP1CP2,0.0712557982541931
b-100,rMas,600300,P3P4CP1CP2,0.0427268273381598
b-200,rAvg,700300,P3PzP4,0.0599784227884107
b-200,rAvg,GAV400,CP1CP2,0.0999061855025142
b-200,rAvg,600600,Cz,0.0567960954387892
b-100,rAvg,500300,Pz,0.022901412191789
b-100,rAvg,700300,Cz,0.0457309484080912
b-100,rCSD,600600,P3P4CP1CP2,0.0457416743046671
b-200,rAvg,450100,P3PzP4,0.0501108728852842
b-100,rAvg,GAV400,CP1CP2PzP3P4,0.0775901174370078
b-100,rAvg,SAV400,Pz,0.0846499521835488
b-100,rAvg,SAV400,CP1CP2PzP3P4,0.0976196707862125
b-100,rMas,500200,CP1CP2PzP3P4,0.0901776889458449
b-200,rAvg,600200,CP1CP2PzP3P4,0.118813093387268
b-200,rMas,500200,around,0.0776428741865285
b-200,rCSD,500300,P3PzP4,0.046409233111771
b-100,rMas,700300,around,0.0602088973407043
b-100,rMas,600300,Pz,0.0609748893017606
b-100,rAvg,500200,FzCzPz,0.0949616898308261
b-200,rAvg,700200,CP1CP2,0.123710059930752
b-100,rAvg,700200,Pz,0.0416811927892886
b-200,rCSD,600200,around,0.0600564655444162
b-100,rCSD,600600,FzCzPz,0.046477225380428
b-200,rMas,700300,CP1CP2PzP3P4,0.0350852398135534
